19930,54860
18100,54860
18100,47140
19930,47140
19930,18900
15660,18900
15660,11100
21840,11100
21840,11725
29070,11725
29070,17140
56950,17140
56950,14825
65032,14825
65032,17140
92932,17140
92932,11600
100860,11600
100860,32000
105214,32000
105214,38140
113925,38140
113925,36826
115425,36826
115425,35326
116925,35326
116925,33825
118425,33825
118425,32150
120140,32150
120140,-1930
100860,-1930
100860,6915
92930,6915
92930,860
89000,860
89000,4850
81000,4850
81000,860
29068,860
29068,6420
19928,6420
19928,860
7150,860
7150,3600
5260,3600
5260,5160
3700,5160
3700,6860
1068,6860
1068,47140
2900,47140
2900,54860
1068,54860
1068,101140
3700,101140
3700,102840
5260,102840
5260,104400
7240,104400
7240,107050
19865,107050
19865,101350
29068,101350
29068,104140
62950,104140
62950,101875
71032,101875
71032,104140
104932,104140
104932,101580
107020,101580
107020,99720
108580,99720
108580,97850
110932,97850
110932,87860
76785,87860
76785,91850
69200,91850
69200,87860
29068,87860
29068,96915
23935,96915
23935,96350
21930,96350
21930,97118
15660,97118
15660,88900
19930,88900
